noble_filename_abbrev,article_title,journal_name,doi,table_page_num,catalyst_formula_raw,catalyst_formula,a1,a2,a3,a1_perc,a2_perc,a3_perc,b1,b2,b3,b1_perc,b2_perc,b3_perc,synthesis_method,reaction_oxidation_temperature,reaction_oxidation_temperature_units,reaction_reduction_temperature,reaction_reduction_temperature_units,cycle_number,extra_operating_condtions,yield_1,yield_1_amt,yield_1_units,yield_2,yield_2_amt,yield_2_units
patents-us843,"REDOX MATERIAL FOR THERMOCHEMICAL WATER SPLITTING, AND METHOD FOR PRODUCING HYDROGEN",USPTO,"US 8,435,486 B2",page6,Ce0.9Fe0.1O1.5,Ce0.9Fe0.1O1.5,,,,,,,,,,,,,,1400, C,1000, C,,Particle,H2,35.2,µmol/g,,,
patents-us843,"REDOX MATERIAL FOR THERMOCHEMICAL WATER SPLITTING, AND METHOD FOR PRODUCING HYDROGEN",USPTO,"US 8,435,486 B2",page6,Ce0.9Mn0.1O2,Ce0.9Mn0.1O2,,,,,,,,,,,,,,1400, C,1000, C,,Particle,H2,52.2,µmol/g,,,
patents-us843,"REDOX MATERIAL FOR THERMOCHEMICAL WATER SPLITTING, AND METHOD FOR PRODUCING HYDROGEN",USPTO,"US 8,435,486 B2",page6,CeFeO3,CeFeO3,Ce,,,1,,,Fe,,,1,,,,800, C,800, C,,Carried on carrier (0.24mol/100g-carrier),H2,56.5,µmol/g,,,
patents-us843,"REDOX MATERIAL FOR THERMOCHEMICAL WATER SPLITTING, AND METHOD FOR PRODUCING HYDROGEN",USPTO,"US 8,435,486 B2",page6,CeMn0.8Fe0.2O4,CeMn0.8Fe0.2O4,,,,,,,,,,,,,,800, C,800, C,,Carried on carrier (0.24mol/100g-carrier),H2,165.6,µmol/g,,,
patents-us843,"REDOX MATERIAL FOR THERMOCHEMICAL WATER SPLITTING, AND METHOD FOR PRODUCING HYDROGEN",USPTO,"US 8,435,486 B2",page6,CeMnO3,CeMnO3,Ce,,,1,,,Mn,,,1,,,,800, C,800, C,,Carried on carrier (0.24mol/100g-carrier),H2,136.7,µmol/g,,,
patents-us843,"REDOX MATERIAL FOR THERMOCHEMICAL WATER SPLITTING, AND METHOD FOR PRODUCING HYDROGEN",USPTO,"US 8,435,486 B2",page6,LaMn0.8Fe0.2O3,LaMn0.8Fe0.2O3,La,,,1,,,Mn,Fe,,0.8,0.2,,,800, C,800, C,,Carried on carrier (0.24mol/100g-carrier),H2,184.7,µmol/g,,,
patents-us843,"REDOX MATERIAL FOR THERMOCHEMICAL WATER SPLITTING, AND METHOD FOR PRODUCING HYDROGEN",USPTO,"US 8,435,486 B2",page6,LaMnO3,LaMnO3,La,,,1,,,Mn,,,1,,,,800, C,800, C,,Carried on carrier (0.24mol/100g-carrier),H2,156.5,µmol/g,,,
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,Co0.38Fe2.62O4 (18.4 wt%)/CSZ,Co0.38Fe2.62O4 (18.4 wt%)/CSZ,,,,,,,,,,,,,,,,1400, C,5,,H2,2.9,Ncm3/g,H2,3.7,Ncm3/g
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,Co0.39Fe2.61O4 (19.5 wt%)/YSZ,Co0.39Fe2.61O4 (19.5 wt%)/YSZ,,,,,,,,,,,,,,,,1400, C,7,,H2,6.4,Ncm3/g,H2,2.9,Ncm3/g
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,Co0.68Fe2.32O4 (18.3 wt%)/YSZ,Co0.68Fe2.32O4 (18.3 wt%)/YSZ,,,,,,,,,,,,,,,,1400, C,7,,H2,6.5,Ncm3/g,H2,5.1,Ncm3/g
patents-us811,REACTIVE WORKING MATERIAL FOR USE N HYDROGEN PRODUCTION BY DECOMPOSITION OF WATER,USPTO,"US 8,110,174 B2",page13,Fe3O4 (20.0 wt%)/monoclinicZrO2,Fe3O4 (20.0 wt%)/monoclinicZrO2,,,,,,,,,,,,,,,,1400, C,6,,H2,7.7,Ncm3/g,H2,7.2,Ncm3/g
