input_diol_nO,input_diol_nCO2,input_diol_nCO3,input_diol_nC,input_diol_nCH3,input_iso_nC6H6,input_iso_nC6H12,input_iso_nC,input_iso_nCH3,input_Ui,input_NCO/OH PP,output_E
1,0,0,4,0,2,0,1,0,0,2.251814751,7.24271
1,0,0,4,0,2,0,1,0,0,5.137142999,22.8957
0,2,0,6,0,2,0,1,0,0,2.251814751,10.4377175
0,2,0,6,0,2,0,1,0,0,5.137142999,35.031825
0,2,0,8,0,2,0,1,0,0,2.251814751,8.6312275
0,2,0,8,0,2,0,1,0,0,5.137142999,25.9176
0,2,0,7,0,2,0,1,0,0,2.251814751,9.386945
0,2,0,7,0,2,0,1,0,0,5.137142999,32.017775
0,0,1,6,0,2,0,1,0,0,2.251814751,15.617937
0,0,1,6,0,2,0,1,0,0,5.137142999,35.7928
1,0,0,2,1,2,0,1,0,0,2.251814751,1.9244375
1,0,0,2,1,2,0,1,0,0,5.137142999,11.74445
1,0,0,4,0,1,0,0,1,1,2.17861311,19.401575
1,0,0,4,0,1,0,0,1,1,4.440935292,45.23705
0,2,0,6,0,1,0,0,1,1,2.17861311,30.0309
0,2,0,6,0,1,0,0,1,1,4.440935292,58.7388
0,2,0,8,0,1,0,0,1,1,2.17861311,19.3545925
0,2,0,8,0,1,0,0,1,1,4.440935292,60.332425
0,2,0,7,0,1,0,0,1,1,2.17861311,31.89455
0,2,0,7,0,1,0,0,1,1,4.440935292,60.212625
0,0,1,6,0,1,0,0,1,1,2.17861311,37.3754
0,0,1,6,0,1,0,0,1,1,4.440935292,85.957
1,0,0,2,1,1,0,0,1,1,2.17861311,11.78465
1,0,0,2,1,1,0,0,1,1,4.440935292,25.223825
1,0,0,4,0,0,0,6,0,0,2.979256925,18.502625
1,0,0,4,0,0,0,6,0,0,6.796683094,28.0505
0,2,0,6,0,0,0,6,0,0,2.979256925,39.72615
0,2,0,6,0,0,0,6,0,0,6.796683094,65.63575
0,2,0,8,0,0,0,6,0,0,2.979256925,21.6276
0,2,0,8,0,0,0,6,0,0,6.796683094,51.35775
0,0,1,6,0,0,0,6,0,0,2.979256925,33.60215
0,0,1,6,0,0,0,6,0,0,6.796683094,59.6516
1,0,0,4,0,0,1,1,3,0,5.603127582,15.265085
0,2,0,6,0,0,1,1,3,0,2.456073659,10.22896
0,2,0,6,0,0,1,1,3,0,5.603127582,27.099275
0,2,0,8,0,0,1,1,3,0,5.603127582,16.00069
0,2,0,7,0,0,1,1,3,0,5.603127582,30.962
0,0,1,6,0,0,1,1,3,0,2.456073659,27.7421
0,0,1,6,0,0,1,1,3,0,5.603127582,41.868875
1,0,0,4,0,0,2,1,0,0,2.173559051,5.191605
1,0,0,4,0,0,2,1,0,0,4.958615535,17.362625
0,2,0,6,0,0,2,1,0,0,2.173559051,5.5765375
0,2,0,6,0,0,2,1,0,0,4.958615535,30.118625
0,2,0,8,0,0,2,1,0,0,2.173559051,4.05169125
0,2,0,8,0,0,2,1,0,0,4.958615535,19.22855
0,2,0,7,0,0,2,1,0,0,4.958615535,22.429375
0,0,1,6,0,0,2,1,0,0,4.958615535,39.20315
1,0,0,2,1,0,2,1,0,0,4.958615686,13.94113
1,0,0,4,0,2,0,1,0,1,2.0,30.975825
0,0,1,6,0,2,0,1,0,1,3.771732796,78.21695
0,2,0,6,0,0,1,1,3,1,3.992868501,67.45945
0,0,1,6,0,0,1,1,3,1,2.0,50.4698525
0,2,0,6,0,0,0,6,0,1,2.209594824,46.8873
1,0,0,2,1,1,0,0,1,0,2.9,2.9417025
0,2,0,6,0,0,1,1,3,0,3.787,19.4164625
0,2,0,7,0,0,1,1,3,0,3.787522881,22.9909
0,2,0,6,0,0,2,1,0,0,3.351855679,29.617225
0,2,0,8,0,0,2,1,0,0,3.351855679,15.60831
0,0,1,6,0,0,2,1,0,0,3.351855679,35.569925
1,0,0,2,1,2,0,1,0,0,3.472535077,6.08632
0,2,0,8,0,0,0,6,0,0,4.594320826,34.53846667
1,0,0,4,0,1,0,0,1,1,4.488134896,41.81736667
0,2,0,7,0,1,0,0,1,1,4.48813458,55.33635
